price_list_code,reference,unit_price_ht,discount_percent,conditioning,effective_date,uv_par_carton,carton_par_palette,tarif_par_uv,ecotaxe,notes
BIOLAUR-SP-2026-CORSE,SUP3DN750,4.95,0.0,750ml,2026-01-01,6,90,9.1615,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 9.1615
BIOLAUR-SP-2026-CORSE,SUP3DN-5,12.5,0.0,5L,2026-01-01,2,64,14.8391,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 14.8391
BIOLAUR-SP-2026-CORSE,SUP3DN2-5,15.54,0.0,5L,2026-01-01,2,64,18.6456,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 18.6456
BIOLAUR-SP-2026-CORSE,SUP3DNM-5,27.15,0.0,5L,2026-01-01,2,64,32.5814,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 32.5814
BIOLAUR-SP-2026-CORSE,SUP3DN-L100,5.18,0.0,l'unité,2026-01-01,10,77,9.3228,,UV/carton: 10 | Cartons/palette: 77 | Tarif UV: 9.3228
BIOLAUR-SP-2026-CORSE,SUP3DLA-5,17.5,0.0,5L,2026-01-01,2,64,22.4844,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 22.4844
BIOLAUR-SP-2026-CORSE,SUP3DA-5,17.5,0.0,5L,2026-01-01,2,64,22.4844,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 22.4844
BIOLAUR-SP-2026-CORSE,SUP3DF-5,17.5,0.0,5L,2026-01-01,2,64,22.4844,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 22.4844
BIOLAUR-SP-2026-CORSE,SUP3DCV-5,17.5,0.0,5L,2026-01-01,2,64,22.4844,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 22.4844
BIOLAUR-SP-2026-CORSE,SUP3DP-5,17.5,0.0,5L,2026-01-01,2,64,22.4844,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 22.4844
BIOLAUR-SP-2026-CORSE,60100,6.14,0.0,1L,2026-01-01,6,90,11.3551,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 11.3551
BIOLAUR-SP-2026-CORSE,60250,6.14,0.0,1L,2026-01-01,6,90,11.3551,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 11.3551
BIOLAUR-SP-2026-CORSE,60500,6.14,0.0,1L,2026-01-01,6,90,11.3551,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 11.3551
BIOLAUR-SP-2026-CORSE,60200,6.14,0.0,1L,2026-01-01,6,90,11.3551,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 11.3551
BIOLAUR-SP-2026-CORSE,60591,6.14,0.0,1L,2026-01-01,6,90,11.3551,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 11.3551
BIOLAUR-SP-2026-CORSE,60510,25.14,0.0,5L,2026-01-01,2,64,32.1943,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 32.1943
BIOLAUR-SP-2026-CORSE,65250,25.14,0.0,5L,2026-01-01,2,64,32.1943,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 32.1943
BIOLAUR-SP-2026-CORSE,60550,25.14,0.0,5L,2026-01-01,2,64,32.1943,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 32.1943
BIOLAUR-SP-2026-CORSE,60520,25.14,0.0,5L,2026-01-01,2,64,32.1943,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 32.1943
BIOLAUR-SP-2026-CORSE,60590,25.14,0.0,5L,2026-01-01,2,64,32.1943,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 32.1943
BIOLAUR-SP-2026-CORSE,CL01-1,7.4,0.0,1L,2026-01-01,6,90,13.3229,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 13.3229
BIOLAUR-SP-2026-CORSE,CL01,33.61,0.0,5L,2026-01-01,2,64,60.5176,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 60.5176
BIOLAUR-SP-2026-CORSE,PLAN2DN-5,12.31,0.0,5L,2026-01-01,2,64,13.5487,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 13.5487
BIOLAUR-SP-2026-CORSE,PLAN2DCV-5,14.71,0.0,5L,2026-01-01,2,64,16.0649,,UV/carton: 2 | Cartons/palette: 64 | Tarif UV: 16.0649
BIOLAUR-SP-2026-CORSE,SUP2DN,5.0,0.0,1L,2026-01-01,6,90,5.6594,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 5.6594
BIOLAUR-SP-2026-CORSE,SUP2DCV,5.0,0.0,1L,2026-01-01,6,90,6.8542,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 6.8542
BIOLAUR-SP-2026-CORSE,SUP2DLA,5.0,0.0,1L,2026-01-01,6,90,6.8542,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 6.8542
BIOLAUR-SP-2026-CORSE,SUP2DA,5.0,0.0,1L,2026-01-01,6,90,6.8542,,UV/carton: 6 | Cartons/palette: 90 | Tarif UV: 6.8542
