reference,code,name,brand,range_name,major_category,major_slug,subcategory,subcategory_slug,packaging,unit,vat_rate,notes
SUP3DN750,SUP3DN750,SUPER 3D NEUTRE 750 ml,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents désinfectants de surfaces Multi-usage Neutre,detergents-desinfectants-de-surfaces-multi-usage-neutre,750ml,750ml,20.0,
SUP3DN-5,SUP3DN-5,SUPER 3D NEUTRE 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents désinfectants de surfaces Multi-usage Neutre,detergents-desinfectants-de-surfaces-multi-usage-neutre,5L,5L,20.0,
SUP3DN2-5,SUP3DN2-5,SUPER 3D NEUTRE CONCENTRE 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents désinfectants de surfaces Multi-usage Neutre,detergents-desinfectants-de-surfaces-multi-usage-neutre,5L,5L,20.0,
SUP3DNM-5,SUP3DNM-5,SUPER 3D MEDICAL NEUTRE 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents désinfectants de surfaces Multi-usage Neutre,detergents-desinfectants-de-surfaces-multi-usage-neutre,5L,5L,20.0,
SUP3DN-L100,SUP3DN-L100,"LINGETTES SUPER 3D NEUTRE Flowpack x100 (+ Taxe TSUU 0,12€)",SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents désinfectants de surfaces Multi-usage Neutre,detergents-desinfectants-de-surfaces-multi-usage-neutre,l'unité,l'unité,20.0,
SUP3DLA-5,SUP3DLA-5,SUPER 3D LAVANDE 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D,detergents-desinfectants-surodorant-3d,5L,5L,20.0,
SUP3DA-5,SUP3DA-5,SUPER 3D AMBIANCE 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D,detergents-desinfectants-surodorant-3d,5L,5L,20.0,
SUP3DF-5,SUP3DF-5,SUPER 3D FLEURIE 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D,detergents-desinfectants-surodorant-3d,5L,5L,20.0,
SUP3DCV-5,SUP3DCV-5,SUPER 3D CITRON VERT 5L,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D,detergents-desinfectants-surodorant-3d,5L,5L,20.0,
SUP3DP-5,SUP3DP-5,SUPER 3D PAMPLEMOUSSE,SUPER 3D,SUPER 3D,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D,detergents-desinfectants-surodorant-3d,5L,5L,20.0,
60100,60100,PRIMODEUR 3D LAVANDE 1L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,1L,1L,20.0,
60250,60250,PRIMODEUR 3D AMBIANCE 1L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,1L,1L,20.0,
60500,60500,PRIMODEUR 3D FLEURIE 1L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,1L,1L,20.0,
60200,60200,PRIMODEUR 3D CITRON VERT 1L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,1L,1L,20.0,
60591,60591,PRIMODEUR 3D PAMPLEMOUSSE 1L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,1L,1L,20.0,
60510,60510,PRIMODEUR 3D LAVANDE 5L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,5L,5L,20.0,
65250,65250,PRIMODEUR 3D AMBIANCE 5L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,5L,5L,20.0,
60550,60550,PRIMODEUR 3D FLEURIE 5L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,5L,5L,20.0,
60520,60520,PRIMODEUR 3D CITRON VERT 5L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,5L,5L,20.0,
60590,60590,PRIMODEUR 3D PAMPLEMOUSSE 5L,PRIMODEUR,PRIMODEUR,SOLS & SURFACES,sols-surfaces,Détergents Désinfectants Surodorant 3D longue durée,detergents-desinfectants-surodorant-3d-longue-duree,5L,5L,20.0,
CL01-1,CL01-1,CleanBin 3D 1L (Sur demande),JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Désinfectants surodorants conteneurs/ poubelles très longue rémanence,desinfectants-surodorants-conteneurs-poubelles-tres-longue-remanence,1L,1L,20.0,
CL01,CL01,CleanBin 3D 5 L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Désinfectants surodorants conteneurs/ poubelles très longue rémanence,desinfectants-surodorants-conteneurs-poubelles-tres-longue-remanence,5L,5L,20.0,
PLAN2DN-5,PLAN2DN-5,PLANETE 2D NEUTRE  ECOCERT 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D ECOCERT,detergents-surodorant-2d-ecocert,5L,5L,20.0,
PLAN2DCV-5,PLAN2DCV-5,PLANETE 2D CITRON VERT ECOCERT 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D ECOCERT,detergents-surodorant-2d-ecocert,5L,5L,20.0,
SUP2DN,SUP2DN,SUPER 2D NEUTRE 1L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,1L,1L,20.0,
SUP2DCV,SUP2DCV,SUPER 2D CITRON VERT 1L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,1L,1L,20.0,
SUP2DLA,SUP2DLA,SUPER 2D LAVANDE 1L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,1L,1L,20.0,
SUP2DA,SUP2DA,SUPER 2D AMBIANCE 1L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,1L,1L,20.0,
SUP2DF,SUP2DF,SUPER 2D FLEURIE 1L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,1L,1L,20.0,
SUP2DP,SUP2DP,SUPER 2D PAMPLEMOUSSE 1L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,1L,1L,20.0,
SUP2DN-5,SUP2DN-5,SUPER 2D NEUTRE 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,5L,5L,20.0,
SUP2DCV-5,SUP2DCV-5,SUPER 2D CITRON VERT 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,5L,5L,20.0,
SUP2DLA-5,SUP2DLA-5,SUPER 2D LAVANDE 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,5L,5L,20.0,
SUP2DA-5,SUP2DA-5,SUPER 2D AMBIANCE 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,5L,5L,20.0,
SUP2DF-5,SUP2DF-5,SUPER 2D FLEURIE 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,5L,5L,20.0,
SUP2DP-5,SUP2DP-5,SUPER 2D PAMPLEMOUSSE 5L,JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Détergents Surodorant 2D,detergents-surodorant-2d,5L,5L,20.0,
ACTTOI-5,ACTTOI-5,ACTIVATOP TOITURE CONCENTRE 5L (Nouveauté),JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Traitement TOITURES,traitement-toitures,5L,5L,20.0,
ACTTOI,ACTTOI,ACTIVATOP TOITURE CONCENTRE 1L (Nouveauté),JAGPRIMA,JAGPRIMA,SOLS & SURFACES,sols-surfaces,Traitement TOITURES,traitement-toitures,1L,1L,20.0,
